Project,Train Version,Test Version,ML Algorithm,Sampling Method,Defect Ratio,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure,test_dataset
pBeans,0.5,1.4,naive_bayes,mutation,0.5,0.3979591836734694,0.4380952380952381,0.4829931972789115,-0.0315364846920248,0.7301587301587301,0.3129251700680272,0.6530612244897959,0.3469387755102041,0.4557397975790582,0.4520611626077864,0.5942293164901,velocity1.4
pBeans,0.5,1.4,decision_tree,mutation,0.5,0.4540816326530612,0.5560165975103735,0.4523809523809524,-0.0825473993956762,0.7127659574468085,0.4557823129251701,0.4489795918367347,0.5510204081632653,0.4523703892513258,0.4523681651305115,0.559075701203445,velocity1.4
pBeans,0.5,1.4,random_forest,mutation,0.5,0.4744897959183674,0.5654008438818565,0.4931972789115645,-0.0118221150355318,0.7444444444444445,0.4557823129251701,0.5306122448979592,0.4693877551020408,0.4918180662573634,0.4917760427735461,0.557297151449397,velocity1.4
pBeans,0.5,1.4,svm,mutation,0.5,0.5714285714285714,0.6865671641791046,0.5170068027210885,0.0303030303030303,0.7603305785123967,0.6258503401360545,0.4081632653061224,0.5918367346938775,0.5048946129815304,0.5054197447892982,0.57332361353898,velocity1.4
pBeans,0.5,1.5,knn,mutation,0.5,0.4579439252336448,0.4727272727272727,0.5025430359937402,0.0049931678750894,0.6666666666666666,0.3661971830985915,0.6388888888888888,0.3611111111111111,0.4841961393707578,0.4836934064302511,0.540751957489888,velocity1.5
pBeans,0.5,1.5,naive_bayes,mutation,0.5,0.4626168224299065,0.4888888888888889,0.4992175273865415,-0.0015175215539079,0.6626506024096386,0.3873239436619718,0.6111111111111112,0.3888888888888889,0.4868691600034387,0.4865161513980857,0.535209485613689,velocity1.5
pBeans,0.5,1.5,decision_tree,mutation,0.5,0.4906542056074766,0.5400843881856541,0.5100743348982786,0.0191611476142197,0.6736842105263158,0.4507042253521127,0.5694444444444444,0.4305555555555556,0.5064901548774454,0.5066073600081206,0.524705952391904,velocity1.5
pBeans,0.5,1.5,random_forest,mutation,0.5,0.5280373831775701,0.5627705627705627,0.5622065727699531,0.1192687536905615,0.7303370786516854,0.4577464788732394,0.6666666666666666,0.3333333333333333,0.5499166786663379,0.5524167984853704,0.529396707480783,velocity1.5
pBeans,0.5,1.5,svm,mutation,0.5,0.6448598130841121,0.7285714285714284,0.6091549295774648,0.2155447407001562,0.7391304347826086,0.7183098591549296,0.5,0.5,0.5941987337074245,0.5992953608843179,0.578319677040138,velocity1.5
pBeans,0.5,1.6.1,knn,mutation,0.5,0.5807860262008734,0.4,0.5395652912209203,0.0782194114410343,0.3902439024390244,0.4102564102564102,0.6688741721854304,0.3311258278145695,0.5217522527551544,0.5238414996867112,0.550131724234543,velocity1.6.1
pBeans,0.5,1.6.1,naive_bayes,mutation,0.5,0.5895196506550219,0.4197530864197531,0.5523858040414332,0.1030281117974437,0.4047619047619047,0.4358974358974359,0.6688741721854304,0.3311258278145695,0.5374764780722112,0.5399634585725679,0.550915821208307,velocity1.6.1
pBeans,0.5,1.6.1,decision_tree,mutation,0.5,0.5807860262008734,0.4606741573033707,0.5674562744099167,0.1289119764808937,0.41,0.5256410256410257,0.609271523178808,0.390728476821192,0.5654397745111117,0.5659135166591963,0.536728226659853,velocity1.6.1
pBeans,0.5,1.6.1,random_forest,mutation,0.5,0.5633187772925764,0.4736842105263157,0.5666072338257768,0.1262947293028134,0.4017857142857143,0.5769230769230769,0.5562913907284768,0.4437086092715231,0.5664844796423628,0.5665133191769549,0.528613765328897,velocity1.6.1
pBeans,0.5,1.6.1,svm,mutation,0.5,0.519650655021834,0.5175438596491228,0.5768806248938699,0.1532934152861516,0.3933333333333333,0.7564102564102564,0.3973509933774834,0.6026490066225165,0.5403687410732256,0.5482338613999799,0.542053216957678,velocity1.6.1
pBeans,0.5,2.6,knn,mutation,0.5,0.6011299435028249,0.5731559854897219,0.5995026024823678,0.1988572506152646,0.5697115384615384,0.5766423357664233,0.6223628691983122,0.3776371308016877,0.598850704584041,0.599066589444619,0.521443894265243,xalan2.6
pBeans,0.5,2.6,naive_bayes,mutation,0.5,0.519774011299435,0.4772447724477245,0.5166004496596754,0.033256254691963,0.4825870646766169,0.4720194647201946,0.5611814345991561,0.4388185654008439,0.5145490864285018,0.514673255930794,0.503000479132857,xalan2.6
pBeans,0.5,2.6,decision_tree,mutation,0.5,0.5288135593220339,0.5714285714285715,0.5386214543102651,0.0800201353843589,0.494661921708185,0.6763990267639902,0.4008438818565401,0.5991561181434599,0.5184890220420555,0.5207018451782782,0.51959856642946,xalan2.6
pBeans,0.5,2.6,random_forest,mutation,0.5,0.6451977401129944,0.6659574468085107,0.6529304875419631,0.3110866079805215,0.5916824196597353,0.7615571776155717,0.5443037974683544,0.4556962025316455,0.6363284390082072,0.6438310832551019,0.55094179653451,xalan2.6
pBeans,0.5,2.6,svm,mutation,0.5,0.6203389830508474,0.6155606407322655,0.6226092580615357,0.2448593097327746,0.5809935205183585,0.6545012165450121,0.5907172995780591,0.4092827004219409,0.6212641169406093,0.6217919195422406,0.529597136064026,xalan2.6
pBeans,0.5,2.7,knn,mutation,0.5,0.5478547854785478,0.7036770007209805,0.7262603765944524,0.0992416411295436,0.9979550102249488,0.5434298440979956,0.9090909090909092,0.0909090909090909,0.6708186137778307,0.7028706360335292,0.701515600156657,xalan2.7
pBeans,0.5,2.7,naive_bayes,mutation,0.5,0.4708470847084708,0.6347760060744115,0.6872848754808665,0.0821603274846992,0.9976133651551312,0.465478841870824,0.9090909090909092,0.0909090909090909,0.6166089911737151,0.6505094799608465,0.699459611058846,xalan2.7
pBeans,0.5,2.7,decision_tree,mutation,0.5,0.5566556655665567,0.7119370979270908,0.6409192144158737,0.0619563430176259,0.994011976047904,0.5545657015590201,0.7272727272727273,0.2727272727272727,0.6306817906487252,0.635075200448531,0.702866590004096,xalan2.7
pBeans,0.5,2.7,random_forest,mutation,0.5,0.5720572057205721,0.7235252309879175,0.7834075723830736,0.1248495754140519,1.0,0.566815144766147,1.0,0.0,0.6936920513568297,0.752871267061074,0.7057213810175,xalan2.7
