Dataset,Project,Train Version,Test Version,ML Algorithm,Sampling Type,Sampling Method,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure,auc-prc,tn,fp,fn,tp,fnr
poi_not_velocity_1.6.1_org_java_1.4.0_ext_2.2_j16_45_neuralnet_cross,poi,not,1.6.1,neuralnet,baseline,,,0.1782338021673968,0,0,{'classification__lr': 0.01; 'classification__max_epochs': 20; 'classification__module__dropout': 0.1},0.8294930875576036,0.2371134020618556,0.5629733520336606,0.2328562247416136,0.5897435897435898,0.1483870967741935,0.0,0.0224403927068723,0.3976097161451203,0.380863797242463,0.8320979646328612,0.2395840718421363,697,16,132,23,0.8516129032258064
poi_not_velocity_1.6.1_org_java_1.4.0_ext_2.2_j16_45_neuralnet_cross,poi,not,1.6.1,neuralnet,baseline,,,0.1782338021673968,1,0,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.1},0.8341013824884793,0.25,0.5683029453015427,0.258987418715922,0.6486486486486487,0.1548387096774193,0.0,0.0182328190743338,0.4022416699237363,0.3898917330467109,0.8366036322629282,0.2513575787769336,700,13,131,24,0.8451612903225807
poi_not_velocity_1.6.1_org_java_1.4.0_ext_2.2_j16_45_neuralnet_cross,poi,not,1.6.1,neuralnet,baseline,,,0.1782338021673968,2,0,{'classification__lr': 0.01; 'classification__max_epochs': 20; 'classification__module__dropout': 0.3},0.8246828143021915,0.1739130434782608,0.5421303801387953,0.1762005024071079,0.5333333333333333,0.1038961038961039,0.0,0.0196353436185133,0.3662067611075362,0.3191489749246879,0.8314437140906787,0.2145808055842658,699,14,138,16,0.8961038961038961
poi_not_velocity_1.6.1_org_java_1.4.0_ext_2.2_j16_45_neuralnet_cross,poi,not,1.6.1,neuralnet,baseline,,,0.1782338021673968,3,0,{'classification__lr': 0.001; 'classification__max_epochs': 30; 'classification__module__dropout': 0.1},0.8362168396770473,0.4132231404958678,0.6356896959982514,0.343456646811328,0.5681818181818182,0.3246753246753247,0.0,0.0532959326788218,0.5209885838821356,0.5544109039592872,0.8223021481656747,0.3044284801912987,675,38,104,50,0.6753246753246753
poi_not_velocity_1.6.1_org_java_1.4.0_ext_2.2_j16_45_neuralnet_cross,poi,not,1.6.1,neuralnet,baseline,,,0.1782338021673968,4,0,{'classification__lr': 0.001; 'classification__max_epochs': 20; 'classification__module__dropout': 0.1},0.8350634371395617,0.3966244725738396,0.6270342515404131,0.3326709819882147,0.573170731707317,0.3032258064516129,0.0,0.0491573033707865,0.5060816275589191,0.5369544147262592,0.8229120444770726,0.2983676314048551,677,35,108,47,0.6967741935483871
poi_not_velocity_1.6.1_org_java_1.4.0_ext_2.2_j16_45_neuralnet_cross,poi,not,1.6.1,neuralnet,baseline,,,0.1782338021673968,3,1,{'classification__lr': 0.001; 'classification__max_epochs': 30; 'classification__module__dropout': 0.1},0.6812227074235808,0.3652173913043478,0.5816352521650534,0.2102287136077475,0.5675675675675675,0.2692307692307692,0.8940397350993378,0.1059602649006622,0.477864363226914,0.490614925989485,0.6648960788553008,0.4017149497498842,135,16,57,21,0.7307692307692307
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_knn_cross,poi,not,2.6,knn,baseline,,,0.1782338021673968,0,0,{'classification__n_neighbors': 1},0.7776497695852534,0.4097859327217125,0.6424964936886395,0.2738267957927341,0.3895348837209302,0.432258064516129,0.85273492286115,0.1472650771388499,0.5852603779166481,0.6071256437519925,0.7507046103860961,0.2697620833779873,608,105,88,67,0.567741935483871
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_knn_cross,poi,not,2.6,knn,baseline,,,0.1782338021673968,1,0,{'classification__n_neighbors': 15},0.8467741935483871,0.3696682464454976,0.6138849929873772,0.3550872519842681,0.6964285714285714,0.2516129032258064,0.976157082748948,0.0238429172510518,0.470541913216378,0.495594307468212,0.8411524044504478,0.3088709677419354,696,17,116,39,0.7483870967741936
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_knn_cross,poi,not,2.6,knn,baseline,,,0.1782338021673968,2,0,{'classification__n_neighbors': 5},0.817762399077278,0.3416666666666667,0.6015600808728438,0.2597068570537206,0.4767441860465116,0.2662337662337662,0.9368863955119214,0.0631136044880785,0.4792331553915125,0.4994304692450359,0.8070205842477534,0.2572598869170849,668,45,113,41,0.7337662337662337
poi_not_xalan_2.6_org_java_1.3_ext_2.2_j16_45_knn_cross,poi,not,2.6,knn,baseline,,,0.1782338021673968,3,0,{'classification__n_neighbors': 1},0.7912341407151096,0.4026402640264026,0.636340868108049,0.2762522472445514,0.4093959731543624,0.3961038961038961,0.876577840112202,0.123422159887798,0.5641539641959198,0.5892502844350449,0.7675066466045845,0.2694297760018482,625,88,93,61,0.6038961038961039
