Project,Train Version,Test Version,ML Algorithm,Sampling Method,Defect Ratio,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure
xalan,not,2.7,random_forest,mutation,0.5,{'classification__criterion': 'entropy'; 'classification__max_features': 'log2'; 'classification__n_estimators': 50},0.6083608360836084,0.7531206657420251,0.7568839846122696,0.1145923573335471,0.9981617647058824,0.6046770601336303,0.9090909090909092,0.0909090909090909,0.7131684382825814,0.7414218895496006,0.715160945525077
xalan,not,2.7,svm,mutation,0.5,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.6523652365236524,0.7870619946091645,0.7342579469528244,0.1070307996615028,0.9965870307167236,0.6503340757238307,0.8181818181818182,0.1818181818181818,0.7213208746249755,0.7294460339883384,0.73141848311678
xerces,not,1.2.0,knn,mutation,0.5,{'classification__n_neighbors': 1},0.4977272727272727,0.2299651567944251,0.4844268865223864,-0.0229190660700361,0.1527777777777778,0.4647887323943662,0.5040650406504065,0.4959349593495935,0.4840530139262794,0.4840286678371614,0.602473261306542
xerces,not,1.2.0,naive_bayes,mutation,0.5,{},0.5659090909090909,0.1731601731601731,0.451143173403565,-0.0747237400382693,0.125,0.2816901408450704,0.6205962059620597,0.3794037940379404,0.425580165432304,0.4181098332560105,0.61789080911983
xerces,not,1.2.0,decision_tree,mutation,0.5,{'classification__criterion': 'entropy'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.3886363636363636,0.2464985994397759,0.4819458757967861,-0.0278487304728464,0.1538461538461538,0.6197183098591549,0.3441734417344173,0.6558265582655827,0.4639390713814066,0.4618339351001195,0.632472678191259
xerces,not,1.2.0,random_forest,mutation,0.5,{'classification__criterion': 'gini'; 'classification__max_features': None; 'classification__n_estimators': 90},0.5477272727272727,0.2196078431372549,0.485800984770411,-0.0211788163264393,0.1521739130434782,0.3943661971830985,0.5772357723577236,0.4227642276422764,0.4777347918497575,0.4771187236136978,0.609202682548655
xerces,not,1.2.0,svm,mutation,0.5,{'classification__coef0': 1; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.634090909090909,0.1909547738693467,0.4861063399366389,-0.0225064366306628,0.1484375,0.2676056338028169,0.7046070460704607,0.2953929539295393,0.4415832627559447,0.4342312922229537,0.650189910001988
xerces,not,1.3.0,knn,mutation,0.5,{'classification__n_neighbors': 1},0.5717439293598234,0.3169014084507042,0.6047327898550725,0.1507284097176748,0.2093023255813953,0.6521739130434783,0.5572916666666666,0.4427083333333333,0.6018959588435057,0.6028690462749947,0.61637026050208
xerces,not,1.3.0,naive_bayes,mutation,0.5,{},0.6666666666666666,0.3734439834024896,0.6607223731884058,0.2380011778138992,0.2616279069767442,0.6521739130434783,0.6692708333333334,0.3307291666666667,0.6606146965088842,0.6606670706648468,0.658385627189406
xerces,not,1.3.0,decision_tree,mutation,0.5,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'sqrt'},0.6666666666666666,0.3167420814479638,0.6012794384057971,0.1541474681743651,0.2302631578947368,0.5072463768115942,0.6953125,0.3046875,0.590341236013709,0.5938810877413184,0.662891482474644
xerces,not,1.3.0,random_forest,mutation,0.5,{'classification__criterion': 'entropy'; 'classification__max_features': 'log2'; 'classification__n_estimators': 90},0.6203090507726269,0.3533834586466165,0.6452672101449275,0.2105885011168729,0.2385786802030456,0.6811594202898551,0.609375,0.390625,0.6434560294333243,0.6442682063699329,0.633096395774572
xerces,not,1.3.0,svm,mutation,0.5,{'classification__coef0': 1; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.7041942604856513,0.3619047619047619,0.6412477355072463,0.219237476117428,0.2695035460992908,0.5507246376811594,0.7317708333333334,0.2682291666666667,0.6300032182319555,0.6348261392327352,0.687498508693206
ant,not,1.3,knn,smote,0.5,{'classification__n_neighbors': 1},0.4682539682539682,0.3232323232323232,0.6028301886792453,0.1554018140687672,0.2025316455696202,0.8,0.4056603773584906,0.5943396226415094,0.5565816946484664,0.5696738557164025,0.609303870893727
ant,not,1.3,naive_bayes,smote,0.5,{},0.5396825396825397,0.3829787234042553,0.6858490566037736,0.2758930468257303,0.2432432432432432,0.9,0.4716981132075472,0.5283018867924528,0.6198007866996135,0.6515583641446041,0.606346138611618
ant,not,1.3,decision_tree,smote,0.5,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.6031746031746031,0.4318181818181817,0.7438679245283019,0.3575890036318084,0.2794117647058823,0.95,0.5377358490566038,0.4622641509433962,0.6712233697117305,0.7147370541701148,0.618751231340819
ant,not,1.3,random_forest,smote,0.5,{'classification__criterion': 'log_loss'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 100},0.6190476190476191,0.4285714285714286,0.7330188679245283,0.3406459127269511,0.28125,0.9,0.5660377358490566,0.4339622641509434,0.6851006139200863,0.7137464271463296,0.624022997886002
ant,not,1.3,svm,smote,0.5,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.4126984126984127,0.3018867924528302,0.5698113207547171,0.1096085819913778,0.1860465116279069,0.8,0.3396226415094339,0.660377358490566,0.5120972148024888,0.5212466913156832,0.62766334354552
ant,not,1.4,knn,smote,0.5,{'classification__n_neighbors': 1},0.5168539325842697,0.3384615384615384,0.5286231884057971,0.0477919722355079,0.2444444444444444,0.55,0.5072463768115942,0.4927536231884058,0.5281387210390636,0.5281907867867225,0.567076451481408
ant,not,1.4,naive_bayes,smote,0.5,{},0.5674157303370787,0.3418803418803418,0.5434782608695652,0.0732597865609905,0.2597402597402597,0.5,0.5869565217391305,0.4130434782608695,0.5414125410928482,0.5417363388859614,0.5773557867079
ant,not,1.4,decision_tree,smote,0.5,{'classification__criterion': 'gini'; 'classification__max_depth': 9; 'classification__max_features': 'sqrt'},0.4831460674157303,0.2203389830508474,0.4269927536231884,-0.1228338888548584,0.1666666666666666,0.325,0.5289855072463768,0.4710144927536231,0.4179864037739527,0.4146327168170313,0.569432941644511
ant,not,1.4,random_forest,smote,0.5,{'classification__criterion': 'entropy'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 80},0.5674157303370787,0.3185840707964602,0.5257246376811594,0.0436609038033582,0.2465753424657534,0.45,0.6014492753623188,0.3985507246376811,0.5197174372782098,0.5202424184099597,0.579499870476631
ant,not,1.4,svm,smote,0.5,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.4606741573033708,0.3846153846153847,0.5634057971014492,0.1110973402610256,0.2586206896551724,0.75,0.3768115942028985,0.6231884057971014,0.5252033123957515,0.531609533071195,0.583456444221907
ant,not,1.5,knn,smote,0.5,{'classification__n_neighbors': 1},0.5494880546075085,0.2584269662921348,0.623742816091954,0.1543867903741579,0.1575342465753424,0.71875,0.5287356321839081,0.4712643678160919,0.6119332100829158,0.6164647075317321,0.636600625065766
ant,not,1.5,naive_bayes,smote,0.5,{},0.78839590443686,0.4363636363636364,0.771551724137931,0.3832756878732168,0.3076923076923077,0.75,0.7931034482758621,0.2068965517241379,0.7705373852723075,0.7712506636670704,0.770525831872117
ant,not,1.5,decision_tree,smote,0.5,{'classification__criterion': 'entropy'; 'classification__max_depth': 10; 'classification__max_features': 'sqrt'},0.658703071672355,0.3055555555555555,0.6713362068965517,0.2199510744500457,0.1964285714285714,0.6875,0.6551724137931034,0.3448275862068966,0.6709389766249467,0.6711415904879973,0.67598158470401
ant,not,1.5,random_forest,smote,0.5,{'classification__criterion': 'entropy'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 100},0.726962457337884,0.375,0.7370689655172413,0.3150875283692931,0.25,0.75,0.7241379310344828,0.2758620689655172,0.7367511812999574,0.7369555266607762,0.719584687363661
ant,not,1.5,svm,smote,0.5,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.5494880546075085,0.2903225806451613,0.6785799808429118,0.2230952121524794,0.1753246753246753,0.84375,0.5134099616858238,0.4865900383141762,0.6386248985565058,0.6581714481595307,0.636798318653252
ant,not,1.6,knn,smote,0.5,{'classification__n_neighbors': 1},0.6107954545454546,0.471042471042471,0.627675585284281,0.2246851350923561,0.3652694610778443,0.6630434782608695,0.5923076923076923,0.4076923076923077,0.6259995218625969,0.6266783485236754,0.574447781412823
ant,not,1.6,naive_bayes,smote,0.5,{},0.7869318181818182,0.5901639344262295,0.7223244147157191,0.446227972438417,0.5934065934065934,0.5869565217391305,0.8576923076923076,0.1423076923076923,0.6910854533825105,0.7095266687345056,0.726217849942113
ant,not,1.6,decision_tree,smote,0.5,{'classification__criterion': 'entropy'; 'classification__max_depth': 10; 'classification__max_features': 'sqrt'},0.65625,0.4669603524229075,0.6303511705685619,0.2355747656136527,0.3925925925925926,0.5760869565217391,0.6846153846153846,0.3153846153846154,0.6263894246328783,0.6280111410723832,0.604380412717647
ant,not,1.6,random_forest,smote,0.5,{'classification__criterion': 'entropy'; 'classification__max_features': 'log2'; 'classification__n_estimators': 60},0.7414772727272727,0.5727699530516431,0.7161371237458194,0.3998906740809281,0.5041322314049587,0.6630434782608695,0.7692307692307693,0.2307692307692307,0.7112144953323007,0.7141662585253195,0.669716762634235
ant,not,1.6,svm,smote,0.5,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.6193181818181818,0.5472972972972973,0.7036789297658863,0.3625857619836208,0.3970588235294117,0.8804347826086957,0.5269230769230769,0.473076923076923,0.6549654971182166,0.681117761244173,0.581697930643267
