Dataset,Project,Train Version,Test Version,ML Algorithm,Sampling Type,Sampling Method,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure,auc-prc,tn,fp,fn,tp
ant_not_over_sample_borderline_smote_ant_1.5_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,not,1.5,neuralnet,over_sample,borderline_smote,None,0.5,4,0,{'classification__lr': 0.001; 'classification__max_epochs': 30; 'classification__module__dropout': 0.3},0.7922755741127349,0.5273159144893111,0.6815419148752482,0.40616805461661104,0.6235955056179775,0.4567901234567901,0,0.0937062937062937,0.6102193953938579,0.6434174492396161,0.7512782186376751,0.42263932436576757,648,67,132,111
ant_not_over_sample_borderline_smote_ant_1.5_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,not,1.5,neuralnet,over_sample,borderline_smote,None,0.5,4,1,{'classification__lr': 0.001; 'classification__max_epochs': 30; 'classification__module__dropout': 0.3},0.689419795221843,0.3357664233576642,0.702286877394636,0.26315969524081306,0.21904761904761905,0.71875,0.685823754789272,0.31417624521072796,0.7018320309333081,0.7020938852851443,0.6938748006308704,0.18815719973996425,179,82,9,23
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_knn_cross,ant,not,1.6,knn,over_sample,borderline_smote,None,0.5,0,0,{'classification__n_neighbors': 1},0.7288842544316997,0.4779116465863454,0.6498839000390831,0.2951129102486656,0.4666666666666667,0.4897119341563786,0.8100558659217877,0.18994413407821228,0.6149852702732361,0.6298365064643988,0.6784905692055162,0.3578335915183712,580,136,124,119
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_knn_cross,ant,not,1.6,knn,over_sample,borderline_smote,None,0.5,1,0,{'classification__n_neighbors': 5},0.7466110531803962,0.5110663983903421,0.6726297215899947,0.3403249559170674,0.5,0.522633744855967,0.8226256983240223,0.17737430167597765,0.6399026628498353,0.6556919622275682,0.6924460597597907,0.3822762050661483,589,127,116,127
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_knn_cross,ant,not,1.6,knn,over_sample,borderline_smote,None,0.5,2,0,{'classification__n_neighbors': 9},0.7507820646506778,0.5210420841683366,0.6795008851185139,0.35298690379138536,0.5078125,0.5349794238683128,0.8240223463687151,0.17597765363128492,0.6484233577131305,0.6639540647627292,0.6953464176768467,0.3895003127185812,590,126,113,130
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_knn_cross,ant,not,1.6,knn,over_sample,borderline_smote,None,0.5,3,0,{'classification__n_neighbors': 1},0.7424400417101147,0.46652267818574517,0.6436890977874585,0.29816992105582407,0.4931506849315068,0.4426229508196721,0.8447552447552448,0.15524475524475526,0.5908728137950415,0.6114802197569115,0.6980913732574051,0.36009420135269843,604,111,136,108
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_knn_cross,ant,not,1.6,knn,over_sample,borderline_smote,None,0.5,4,0,{'classification__n_neighbors': 15},0.7703549060542797,0.5510204081632653,0.6994560994560994,0.3967803883327809,0.5465587044534413,0.5555555555555556,0.8433566433566434,0.15664335664335666,0.6667823493735449,0.684493585456773,0.7138787340584859,0.4163785889969826,603,112,108,135
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_knn_cross,ant,not,1.6,knn,over_sample,borderline_smote,None,0.5,4,1,{'classification__n_neighbors': 15},0.7102272727272727,0.575,0.723076923076923,0.3971177393153943,0.46621621621621623,0.75,0.6961538461538461,0.3038461538461538,0.7217712405168182,0.7225755217383056,0.6353735475903648,0.41500307125307123,181,79,23,69
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.6,naive_bayes,over_sample,borderline_smote,None,0.5,0,0,{},0.7632950990615224,0.46080760095011875,0.6430242315561994,0.3200101464640478,0.5449438202247191,0.3991769547325103,0.8868715083798883,0.11312849162011174,0.5676885455249066,0.594994678929242,0.7268858340942388,0.36977093332288025,635,81,146,97
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.6,naive_bayes,over_sample,borderline_smote,None,0.5,1,0,{},0.7664233576642335,0.4371859296482412,0.6315263121594593,0.3108196115508753,0.5612903225806452,0.35802469135802467,0.9050279329608939,0.09497206703910614,0.5411143985568736,0.5692296077759089,0.7368391626471792,0.36362524184516176,648,68,156,87
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.6,naive_bayes,over_sample,borderline_smote,None,0.5,2,0,{},0.762252346193952,0.4864864864864865,0.6572780881440099,0.33614389910836795,0.5373134328358209,0.4444444444444444,0.8701117318435754,0.12988826815642457,0.5965691276604397,0.6218651986273321,0.7191244681773971,0.37957760727125583,623,93,135,108
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.6,naive_bayes,over_sample,borderline_smote,None,0.5,3,0,{},0.7476538060479666,0.37948717948717947,0.6012896939126448,0.24559611229463438,0.5068493150684932,0.30327868852459017,0.8993006993006993,0.1006993006993007,0.5022244808021676,0.5222439436443116,0.7255160222035157,0.330984583040525,643,72,170,74
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.6,naive_bayes,over_sample,borderline_smote,None,0.5,4,0,{},0.7651356993736952,0.49209932279909707,0.6606434717545829,0.3439534215621044,0.545,0.448559670781893,0.8727272727272727,0.12727272727272726,0.5998220497106244,0.6256758411005853,0.7216625995436419,0.3843397596157977,624,91,134,109
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.6,naive_bayes,over_sample,borderline_smote,None,0.5,4,1,{},0.6164772727272727,0.5454545454545454,0.7017558528428094,0.3595018484010009,0.3951219512195122,0.8804347826086957,0.5230769230769231,0.47692307692307695,0.6523281270280805,0.6786273771790055,0.5807981197580208,0.3791291092258749,136,124,11,81
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_decision_tree_cross,ant,not,1.6,decision_tree,over_sample,borderline_smote,None,0.5,0,0,{'classification__criterion': 'gini'; 'classification__max_depth': 7; 'classification__max_features': 'log2'},0.7466110531803962,0.4774193548387097,0.6508810952479481,0.3111818371244469,0.5,0.4567901234567901,0.8449720670391061,0.15502793296089384,0.6005562430252436,0.6212687782436298,0.7007105052723835,0.36603844024768595,605,111,132,111
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_decision_tree_cross,ant,not,1.6,decision_tree,over_sample,borderline_smote,None,0.5,1,0,{'classification__criterion': 'log_loss'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.7612095933263816,0.5075268817204301,0.6701726555854427,0.3509693477927214,0.5315315315315315,0.48559670781893005,0.8547486033519553,0.1452513966480447,0.6220392115344962,0.6442539156268574,0.7124448917243136,0.38845407025996376,612,104,125,118
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_decision_tree_cross,ant,not,1.6,decision_tree,over_sample,borderline_smote,None,0.5,2,0,{'classification__criterion': 'gini'; 'classification__max_depth': 9; 'classification__max_features': 'sqrt'},0.7758081334723671,0.5567010309278351,0.7030571073867163,0.4066685413753132,0.5578512396694215,0.5555555555555556,0.8505586592178771,0.1494413407821229,0.6684403684612001,0.6874100584471952,0.7199680361179605,0.42253466506950255,609,107,108,135
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_decision_tree_cross,ant,not,1.6,decision_tree,over_sample,borderline_smote,None,0.5,3,0,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'sqrt'},0.7455683003128258,0.4377880184331797,0.6282385647139744,0.2802570898037768,0.5,0.38934426229508196,0.8671328671328671,0.13286713286713286,0.5580983678530538,0.5810449263746009,0.7091319424673316,0.35004230841552847,620,95,149,95
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_decision_tree_cross,ant,not,1.6,decision_tree,over_sample,borderline_smote,None,0.5,4,0,{'classification__criterion': 'gini'; 'classification__max_depth': 9; 'classification__max_features': 'log2'},0.7745302713987474,0.5846153846153846,0.7253446142335032,0.43253364562421215,0.5487364620938628,0.6255144032921811,0.8251748251748252,0.17482517482517482,0.7077643896662625,0.7184418823961759,0.7111782004896685,0.438232122237944,590,125,91,152
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_decision_tree_cross,ant,not,1.6,decision_tree,over_sample,borderline_smote,None,0.5,4,1,{'classification__criterion': 'gini'; 'classification__max_depth': 9; 'classification__max_features': 'log2'},0.6875,0.5491803278688525,0.7006688963210702,0.3560031605309767,0.4407894736842105,0.7282608695652174,0.6730769230769231,0.3269230769230769,0.6993998891930477,0.7001254068267205,0.618209640192086,0.3920324526731849,175,85,25,67
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_random_forest_cross,ant,not,1.6,random_forest,over_sample,borderline_smote,None,0.5,0,0,{'classification__criterion': 'log_loss'; 'classification__max_features': 'log2'; 'classification__n_estimators': 80},0.7685088633993743,0.4954545454545455,0.6628273214244661,0.35059548868934326,0.5532994923857868,0.448559670781893,0.8770949720670391,0.12290502793296089,0.600505267506957,0.6272395331249815,0.7254276957742559,0.38791672240278874,628,88,134,109
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_random_forest_cross,ant,not,1.6,random_forest,over_sample,borderline_smote,None,0.5,1,0,{'classification__criterion': 'entropy'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 90},0.794577685088634,0.54292343387471,0.6911597351541485,0.41887066872861606,0.6223404255319149,0.48148148148148145,0.9008379888268156,0.09916201117318436,0.6267075151395691,0.6585869793999373,0.7506010414028398,0.4310322513847906,645,71,126,117
ant_not_over_sample_borderline_smote_ant_1.6_org_java_1.4.1_ext_2.2_j16_45_random_forest_cross,ant,not,1.6,random_forest,over_sample,borderline_smote,None,0.5,2,0,{'classification__criterion': 'entropy'; 'classification__max_features': None; 'classification__n_estimators': 90},0.794577685088634,0.567032967032967,0.7074712049106836,0.43492987636461017,0.6084905660377359,0.5308641975308642,0.8840782122905028,0.11592178770949721,0.6582937943026747,0.6850733323682354,0.7442586544257044,0.441899682947748,633,83,114,129
