Dataset,Project,Train Version,Test Version,ML Algorithm,Max Bug Per File,Mutation Version,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,g-measure,auc-prc,tn,fp,fn,tp
jEdit_not_0.5_jEdit_4.2_org_java_1.5_ext_2.2_j16_45_xgboost_cross,jEdit,not,4.2,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{'classification__learning_rate': 0.1; 'classification__max_depth': 7; 'classification__n_estimators': 200; 'classification__subsample': 0.8},0.7666314677930306,0.7574094401756312,0.7663160010720986,0.5325891797558759,0.756578947368421,0.7582417582417582,0.774390243902439,0.22560975609756098,0.76617655217618,0.7662734630025037,0.6419463272714712,0.6898260343002743,381,111,110,345
jEdit_not_0.5_jEdit_4.2_org_java_1.5_ext_2.2_j16_45_xgboost_cross,jEdit,not,4.2,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,1,{'classification__learning_rate': 0.1; 'classification__max_depth': 7; 'classification__n_estimators': 200; 'classification__subsample': 1.0},0.4141689373297003,0.3042071197411003,0.6541601358411704,0.2293743515935375,0.18007662835249041,0.9791666666666666,0.329153605015674,0.670846394984326,0.525411276239498,0.5677114040113287,0.6481871616541947,0.1790498275688072,105,214,1,47
jEdit_not_0.5_jEdit_4.2_org_java_1.5_ext_2.2_j16_45_neuralnet_cross,jEdit,not,4.2,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__lr': 0.01; 'classification__max_epochs': 20; 'classification__module__dropout': 0.3},0.6613924050632911,0.5781865965834428,0.6545371464235562,0.33026596077314574,0.7189542483660131,0.4835164835164835,0,0.1744421906693712,0.6145228277286008,0.6317996588374493,0.5790356203864293,0.595516525337821,407,86,235,220
jEdit_not_0.5_jEdit_4.2_org_java_1.5_ext_2.2_j16_45_neuralnet_cross,jEdit,not,4.2,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__lr': 0.01; 'classification__max_epochs': 20; 'classification__module__dropout': 0.1},0.6571729957805907,0.576271186440678,0.6505650536076499,0.3201676747520768,0.7083333333333334,0.4857142857142857,0,0.1845841784989858,0.6136315781080752,0.6293322757498558,0.5745985743707194,0.5908830620855937,402,91,234,221
jEdit_not_0.5_jEdit_4.2_org_java_1.5_ext_2.2_j16_45_neuralnet_cross,jEdit,not,4.2,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.3},0.689873417721519,0.6733333333333333,0.6889508057865055,0.37830658762982167,0.6808988764044944,0.6659340659340659,0,0.2880324543610548,0.6881003822793317,0.6885662222912481,0.5723458909556126,0.613771309996598,351,142,152,303
jEdit_not_0.5_jEdit_4.2_org_java_1.5_ext_2.2_j16_45_neuralnet_cross,jEdit,not,4.2,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__lr': 0.001; 'classification__max_epochs': 30; 'classification__module__dropout': 0.1},0.680379746835443,0.6773162939297125,0.6810935514789471,0.36197657664265287,0.6570247933884298,0.6989010989010989,0,0.3367139959432049,0.6805967569771665,0.6808607178571935,0.5646019245046557,0.6037101180369305,327,166,137,318
jEdit_not_0.5_jEdit_4.2_org_java_1.5_ext_2.2_j16_45_neuralnet_cross,jEdit,not,4.2,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{'classification__lr': 0.001; 'classification__max_epochs': 30; 'classification__module__dropout': 0.1},0.6853220696937699,0.7037773359840954,0.6888077369784686,0.38248520420768967,0.6424682395644283,0.778021978021978,0,0.40040650406504064,0.676272019483284,0.6830057962539043,0.5738669937647495,0.6065069976794268,295,197,101,354
jEdit_not_0.5_jEdit_4.2_org_java_1.5_ext_2.2_j16_45_neuralnet_cross,jEdit,not,4.2,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,1,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.3},0.5149863760217984,0.32061068702290074,0.6679075235109717,0.22964844550042868,0.19626168224299065,0.875,0.4608150470219436,0.5391849529780565,0.608627151224086,0.6349906819349403,0.622875213790751,0.18807774580457867,147,172,6,42
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_knn_cross,jEdit,not,4.3,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__n_neighbors': 3},0.7373417721518988,0.7205387205387206,0.7361143927066849,0.4733728977882716,0.7362385321100917,0.7054945054945055,0.7667342799188641,0.2332657200811359,0.7343438477477919,0.7354772747386862,0.6134013292066617,0.660762450107474,378,115,134,321
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_knn_cross,jEdit,not,4.3,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__n_neighbors': 15},0.7183544303797469,0.7016759776536313,0.717265898401801,0.43530386675943433,0.7136363636363636,0.6901098901098901,0.744421906693712,0.25557809330628806,0.7159647539601977,0.7167516447304411,0.5958699827825245,0.6412216897027023,367,126,141,314
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_knn_cross,jEdit,not,4.3,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__n_neighbors': 1},0.7172995780590717,0.7161016949152542,0.7182845552013909,0.4364368267514145,0.6912065439672802,0.7428571428571429,0.6937119675456389,0.30628803245436104,0.7172149157006725,0.7178641167914442,0.5941112546763005,0.6368854398946813,342,151,117,338
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_knn_cross,jEdit,not,4.3,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__n_neighbors': 1},0.7183544303797469,0.7010078387458006,0.7171811960858614,0.43527049661521183,0.7146118721461188,0.6879120879120879,0.7464503042596349,0.2535496957403651,0.7156706899725038,0.7165836917805615,0.5959960513120333,0.6413791745506676,368,125,142,313
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_knn_cross,jEdit,not,4.3,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{'classification__n_neighbors': 1},0.7222808870116156,0.7156756756756757,0.7224761011346378,0.4446246044721138,0.7042553191489361,0.7274725274725274,0.717479674796748,0.28252032520325204,0.7224311279743678,0.7224588240408981,0.5982869435085244,0.6432662069333304,353,139,124,331
jEdit_not_0.5_jEdit_4.3_org_java_1.5_ext_2.2_j16_45_knn_cross,jEdit,not,4.3,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,1,{'classification__n_neighbors': 3},0.5508130081300813,0.059574468085106386,0.5926100926100926,0.05498772964680496,0.03125,0.6363636363636364,0.5488565488565489,0.45114345114345117,0.5902672709751506,0.5909926812341666,0.6945399351356243,0.028016444937176643,264,217,4,7
