Dataset,Project,Train Version,Test Version,ML Algorithm,Sampling Type,Sampling Method,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure,auc-prc,tn,fp,fn,tp
poi_not_poi_1.5_org_java_1.3_ext_2.2_j16_45_knn_cross,poi,not,1.5,knn,baseline,None,None,0.24765144152899254,3,0,{'classification__n_neighbors': 13},0.7878542510121458,0.42543859649122806,0.629971436008921,0.34354686090702197,0.6466666666666666,0.31699346405228757,0.9429494079655544,0.05705059203444564,0.5153595672053484,0.5467255246072336,0.7681987197093962,0.37421987598458184,876,53,209,97
poi_not_poi_1.5_org_java_1.3_ext_2.2_j16_45_knn_cross,poi,not,1.5,knn,baseline,None,None,0.24765144152899254,4,0,{'classification__n_neighbors': 1},0.7609400324149108,0.5091514143094842,0.673855194197886,0.3512595721964256,0.5168918918918919,0.5016393442622951,0.8460710441334769,0.15392895586652314,0.6311792666880879,0.651477185923216,0.7116245556667368,0.38246997096732727,786,143,152,153
poi_not_poi_1.5_org_java_1.3_ext_2.2_j16_45_knn_cross,poi,not,1.5,knn,baseline,None,None,0.24765144152899254,4,1,{'classification__n_neighbors': 1},0.6329113924050633,0.6925795053003534,0.6183510638297873,0.23710535344059822,0.6901408450704225,0.6950354609929078,0.5416666666666666,0.4583333333333333,0.6107232253933889,0.6135776571642406,0.5485373305627089,0.6611069595596741,52,44,43,98
poi_not_poi_1.5_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,poi,not,1.5,naive_bayes,baseline,None,None,0.24765144152899254,0,0,{},0.7659919028340081,0.41140529531568226,0.6198227766169259,0.2899061518946054,0.5459459459459459,0.3300653594771242,0.9095801937567277,0.09041980624327234,0.5219894541259651,0.5479241860199151,0.7412487627589991,0.34618974773773536,845,84,205,101
poi_not_poi_1.5_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,poi,not,1.5,naive_bayes,baseline,None,None,0.24765144152899254,1,0,{},0.751417004048583,0.38966202783300197,0.6068476188466057,0.25196001422655606,0.49746192893401014,0.3202614379084967,0.8934337997847147,0.10656620021528525,0.513481311858142,0.5349134447694363,0.7269616868248577,0.32773892529671944,830,99,208,98
poi_not_poi_1.5_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,poi,not,1.5,naive_bayes,baseline,None,None,0.24765144152899254,2,0,{},0.7821862348178138,0.4715127701375246,0.6514067413833132,0.3527409748835613,0.5911330049261084,0.39215686274509803,0.9106566200215285,0.08934337997847147,0.5655719167377302,0.5975953841402203,0.7497460680440253,0.382424152126298,846,83,186,120
poi_not_poi_1.5_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,poi,not,1.5,naive_bayes,baseline,None,None,0.24765144152899254,3,0,{},0.7668016194331984,0.4308300395256917,0.6291271801149596,0.3026432974464707,0.545,0.3562091503267974,0.9020452099031216,0.09795479009687837,0.5395318691668947,0.5668480905639081,0.7379729886468999,0.3536481569685904,838,91,197,109
poi_not_poi_1.5_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,poi,not,1.5,naive_bayes,baseline,None,None,0.24765144152899254,4,0,{},0.7633711507293355,0.4065040650406504,0.6171098837106708,0.28176508601715256,0.5347593582887701,0.32786885245901637,0.9063509149623251,0.09364908503767493,0.5201404212568258,0.5451277230281699,0.7387318761727572,0.34145735529620913,842,87,205,100
poi_not_poi_1.5_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,poi,not,1.5,naive_bayes,baseline,None,None,0.24765144152899254,2,1,{},0.6919831223628692,0.7767584097859327,0.6430629432624113,0.34179111115323135,0.6827956989247311,0.900709219858156,0.3854166666666667,0.6145833333333334,0.5597890661101845,0.5891929608826503,0.6410930234765192,0.674072111258805,37,59,14,127
poi_not_poi_1.5_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,poi,not,1.5,decision_tree,baseline,None,None,0.24765144152899254,0,0,{'classification__criterion': 'entropy'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.7716599190283401,0.4025423728813559,0.6170156257695041,0.2962098721800541,0.572289156626506,0.3104575163398693,0.9235737351991389,0.07642626480086114,0.5094340968210322,0.5354721355837863,0.7508117090644539,0.3485216726236533,858,71,211,95
