Project,Train Version,Test Version,ML Algorithm,Sampling Method,Defect Ratio,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure
poi,2.0RC1,2.5.1,decision_tree,baseline,0.1178343949044586,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'auto'},0.3948051948051948,0.204778156996587,0.5057393454202967,0.0171053816166263,0.6666666666666666,0.1209677419354838,0.8905109489051095,0.1094890510948905,0.3736272822721037,0.3282119721428153,0.6525006085572121
poi,2.0RC1,2.5.1,random_forest,baseline,0.1178343949044586,{'classification__criterion': 'gini'; 'classification__max_features': None; 'classification__n_estimators': 80},0.3896103896103896,0.1637010676156583,0.509874617376972,0.0337759905534962,0.696969696969697,0.0927419354838709,0.927007299270073,0.072992700729927,0.3563987531128451,0.2932105917970607,0.6715032228478138
poi,2.0RC1,2.5.1,svm,baseline,0.1178343949044586,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.374025974025974,0.0766283524904214,0.5092123852130916,0.0488365597815475,0.7692307692307693,0.0403225806451612,0.978102189781022,0.0218978102189781,0.3212289549074926,0.1985940694649619,0.7074317783111345
poi,2.0RC1,3.0,knn,baseline,0.1178343949044586,{'classification__n_neighbors': 3},0.3891402714932127,0.0753424657534246,0.5195729537366548,0.1209253868935974,1.0,0.0391459074733096,1.0,0.0,0.3205735554435308,0.1978532473155536,0.7077845683853604
poi,2.0RC1,3.0,naive_bayes,baseline,0.1178343949044586,{},0.4343891402714932,0.2138364779874214,0.551181450454234,0.1778608278436323,0.918918918918919,0.1209964412811387,0.9813664596273292,0.0186335403726708,0.3783109840654887,0.3445893921866679,0.6605213136757637
poi,2.0RC1,3.0,decision_tree,baseline,0.1178343949044586,{'classification__criterion': 'entropy'; 'classification__max_depth': 8; 'classification__max_features': 'log2'},0.4117647058823529,0.1875,0.5254304723591433,0.0862910381871238,0.7692307692307693,0.1067615658362989,0.9440993788819876,0.0559006211180124,0.3671493937315853,0.317479964713552,0.6630741872106116
poi,2.0RC1,3.0,random_forest,baseline,0.1178343949044586,{'classification__criterion': 'gini'; 'classification__max_features': None; 'classification__n_estimators': 90},0.4095022624434389,0.1442622950819672,0.532934727349086,0.139880251461237,0.9166666666666666,0.0782918149466192,0.9875776397515528,0.0124223602484472,0.3481947018363001,0.278063384531023,0.6838067538336318
poi,2.0RC1,3.0,svm,baseline,0.1178343949044586,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.3936651583710407,0.0945945945945946,0.5218054419663579,0.1159047995571463,0.9333333333333332,0.0498220640569395,0.9937888198757764,0.0062111801242236,0.3281083834755972,0.2225142922216935,0.7007646457368283
synapse,1.1,1.2,knn,baseline,0.2702702702702703,{'classification__n_neighbors': 3},0.67578125,0.366412213740458,0.5777701778385773,0.1930053241931789,0.5333333333333333,0.2790697674418604,0.8764705882352941,0.1235294117647058,0.4827960190663323,0.4945669249236691,0.6562903699622747
synapse,1.1,1.2,naive_bayes,baseline,0.2702702702702703,{},0.71875,0.4782608695652174,0.6359781121751026,0.3192683985824036,0.6346153846153846,0.3837209302325581,0.888235294117647,0.1117647058823529,0.5571166963440639,0.5838103059421043,0.6726130029255404
synapse,1.1,1.2,decision_tree,baseline,0.2702702702702703,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.66796875,0.3971631205673759,0.5833789329685363,0.1917699881946912,0.509090909090909,0.3255813953488372,0.8411764705882353,0.1588235294117647,0.51006869471607,0.5233272485058731,0.6355810183030145
synapse,1.1,1.2,random_forest,baseline,0.2702702702702703,{'classification__criterion': 'log_loss'; 'classification__max_features': 'log2'; 'classification__n_estimators': 20},0.71484375,0.396694214876033,0.6071819425444597,0.2947101861865379,0.6857142857142857,0.2790697674418604,0.9352941176470588,0.0647058823529411,0.4881761770748621,0.5108936404982007,0.6978175867324538
synapse,1.1,1.2,svm,baseline,0.2702702702702703,{'classification__coef0': 0; 'classification__degree': 0; 'classification__gamma': 'scale'; 'classification__kernel': 'rbf'},0.72265625,0.3826086956521739,0.6073187414500685,0.3198654446477845,0.7586206896551724,0.2558139534883721,0.9588235294117649,0.0411764705882352,0.4729761041695023,0.4952579507251731,0.713968064374241
