Dataset,Project,Train Version,Test Version,ML Algorithm,Max Bug Per File,Mutation Version,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,g-measure,auc-prc,tn,fp,fn,tp,fnr
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,2,0,{'classification__criterion': 'log_loss'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 20},0.84,0.6666666666666666,0.7579365079365079,0.5790660241435861,0.8,0.5714285714285714,0.9444444444444444,0.0555555555555555,0.6944186776479611,0.7346308866924529,0.7772815877574012,0.5771428571428572,17,1,3,4,0.42857142857142855
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,3,0,{'classification__criterion': 'gini'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 30},0.72,0.4615384615384615,0.6286764705882353,0.3001225239993905,0.6,0.375,0.8823529411764706,0.1176470588235294,0.5502968587780229,0.5752237416355278,0.6570675801453368,0.425,15,2,5,3,0.625
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,4,0,{'classification__criterion': 'gini'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 90},0.72,0.5333333333333333,0.6617647058823529,0.3361227822436775,0.5714285714285714,0.5,0.8235294117647058,0.1764705882352941,0.6250720945887658,0.6416889479197478,0.6274936237343818,0.4457142857142857,14,3,4,4,0.5
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,2,1,{'classification__criterion': 'log_loss'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 20},0.7528089887640449,0.3333333333333333,0.5831521739130434,0.1965462102902018,0.4230769230769231,0.275,0.8913043478260869,0.108695652173913,0.4816180246181817,0.4950845338446495,0.7342751374024257,0.2792675021607606,123,15,29,11,0.725
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,0,0,{'classification__coef0': 0; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.7692307692307693,0.4,0.625,0.4330127018922193,1.0,0.25,1.0,0.0,0.4696699141100894,0.5,0.7547576657264995,0.4807692307692308,18,0,6,2,0.75
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,1,0,{'classification__coef0': 0; 'classification__degree': 0; 'classification__gamma': 'scale'; 'classification__kernel': 'rbf'},0.76,0.4,0.615079365079365,0.3180099858972217,0.6666666666666666,0.2857142857142857,0.9444444444444444,0.0555555555555555,0.4933983313362758,0.5194624816493197,0.7285087659763144,0.3904761904761905,17,1,5,2,0.7142857142857143
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,2,0,{'classification__coef0': 1; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.76,0.625,0.746031746031746,0.4602832499602864,0.5555555555555556,0.7142857142857143,0.7777777777777778,0.2222222222222222,0.7440553095778238,0.7453559924999299,0.6555213366563069,0.4768253968253969,14,4,2,5,0.2857142857142857
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,3,0,{'classification__coef0': 3; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.84,0.6666666666666666,0.75,0.6362090102803518,1.0,0.5,1.0,0.0,0.6464466094067263,0.7071067811865476,0.7863446127781172,0.66,17,0,4,4,0.5
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,4,0,{'classification__coef0': 2; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.76,0.5,0.6580882352941176,0.4023086388537518,0.75,0.375,0.9411764705882352,0.0588235294117647,0.5561051883540107,0.5940885257860046,0.7066475236451999,0.48125,16,1,5,3,0.625
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,3,1,{'classification__coef0': 3; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.7471910112359551,0.3076923076923077,0.5706521739130435,0.169749828461105,0.4,0.25,0.8913043478260869,0.108695652173913,0.4641293323937612,0.4720445815349666,0.7320754452391026,0.2685393258426966,123,15,30,10,0.75
