Dataset,Project,Train Version,Test Version,ML Algorithm,Max Bug Per File,Mutation Version,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,g-measure,auc-prc,tn,fp,fn,tp
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,1,{'classification__criterion': 'gini'; 'classification__max_features': 'log2'; 'classification__n_estimators': 90},0.6460674157303371,0.42201834862385323,0.6208333333333333,0.20703725282442437,0.3333333333333333,0.575,0.6666666666666666,0.3333333333333333,0.6180732327323004,0.6191391873668902,0.6112356739406775,0.28717228464419475,92,46,17,23
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__coef0': 2; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.6538461538461539,0.64,0.6538461538461539,0.3086066999241838,0.6666666666666666,0.6153846153846154,0.6923076923076923,0.3076923076923077,0.651715956225484,0.6527139518645054,0.5111847175434168,0.6025641025641025,9,4,5,8
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__coef0': 2; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.76,0.7692307692307693,0.7628205128205129,0.5290432684448219,0.7142857142857143,0.8333333333333334,0.6923076923076923,0.3076923076923077,0.7525607812100156,0.7595545253127499,0.6069109849750699,0.6752380952380952,9,4,2,10
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__coef0': 0; 'classification__degree': 0; 'classification__gamma': 'scale'; 'classification__kernel': 'rbf'},0.6,0.6428571428571429,0.6057692307692308,0.22017621148199482,0.5625,0.75,0.46153846153846156,0.5384615384615384,0.5802138470587871,0.5883484054145521,0.5004004806408974,0.541875,6,7,3,9
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__coef0': 1; 'classification__degree': 2; 'classification__gamma': 'auto'; 'classification__kernel': 'poly'},0.64,0.7096774193548387,0.6506410256410255,0.35243832868824726,0.5789473684210527,0.9166666666666666,0.38461538461538464,0.6153846153846154,0.5608857385050472,0.5937710859953544,0.5682575707077441,0.5707017543859649,5,8,1,11
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{'classification__coef0': 0; 'classification__degree': 0; 'classification__gamma': 'scale'; 'classification__kernel': 'linear'},0.76,0.75,0.7596153846153846,0.5192307692307693,0.75,0.75,0.7692307692307693,0.23076923076923078,0.7594231537846768,0.75955452531275,0.6041666666666665,0.6825,10,3,3,9
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_svm_cross,ant,1.3,1.4,svm,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,1,{'classification__coef0': 2; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.5112359550561798,0.36496350364963503,0.5516304347826086,0.08655196660841616,0.25773195876288657,0.625,0.4782608695652174,0.5217391304347826,0.5456671263121922,0.5467294060851866,0.5680358600865778,0.2453521371481524,66,72,15,25
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__learning_rate': 0.01; 'classification__max_depth': 7; 'classification__n_estimators': 100; 'classification__subsample': 1.0},0.6153846153846154,0.4444444444444444,0.6153846153846154,0.2927700218845599,0.8,0.3076923076923077,0.9230769230769231,0.07692307692307693,0.5074519817359349,0.532938710021193,0.5829752480681661,0.5923076923076923,12,1,9,4
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__learning_rate': 0.01; 'classification__max_depth': 5; 'classification__n_estimators': 200; 'classification__subsample': 1.0},0.72,0.7407407407407407,0.7243589743589745,0.4576043153224294,0.6666666666666666,0.8333333333333334,0.6153846153846154,0.38461538461538464,0.7035992814949514,0.716114874039433,0.5715476066494083,0.6355555555555555,8,5,2,10
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__learning_rate': 0.1; 'classification__max_depth': 3; 'classification__n_estimators': 100; 'classification__subsample': 0.8},0.76,0.7692307692307693,0.7628205128205129,0.5290432684448219,0.7142857142857143,0.8333333333333334,0.6923076923076923,0.3076923076923077,0.7525607812100156,0.7595545253127499,0.6069109849750699,0.6752380952380952,9,4,2,10
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__learning_rate': 0.01; 'classification__max_depth': 5; 'classification__n_estimators': 100; 'classification__subsample': 0.8},0.72,0.7407407407407407,0.7243589743589745,0.4576043153224294,0.6666666666666666,0.8333333333333334,0.6153846153846154,0.38461538461538464,0.7035992814949514,0.716114874039433,0.5715476066494083,0.6355555555555555,8,5,2,10
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{'classification__learning_rate': 0.01; 'classification__max_depth': 3; 'classification__n_estimators': 100; 'classification__subsample': 1.0},0.76,0.7,0.7532051282051283,0.5423695984263261,0.875,0.5833333333333334,0.9230769230769231,0.07692307692307693,0.700393365498672,0.7337993857053429,0.6312022876331163,0.7104166666666667,12,1,5,7
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_xgboost_cross,ant,1.3,1.4,xgboost,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,1,{'classification__learning_rate': 0.1; 'classification__max_depth': 3; 'classification__n_estimators': 100; 'classification__subsample': 0.8},0.6292134831460674,0.2826086956521739,0.5211956521739131,0.038909833657823606,0.25,0.325,0.717391304347826,0.2826086956521739,0.4825578897798213,0.4828583373133817,0.6205112000437791,0.232935393258427,99,39,27,13
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__lr': 0.001; 'classification__max_epochs': 20; 'classification__module__dropout': 0.1},0.5769230769230769,0.6206896551724138,0.5769230769230769,0.15811388300841897,0.5625,0.6923076923076923,0,0.5384615384615384,0.5614709903464854,0.565266863719195,0.48617243480439776,0.5432692307692308,6,7,4,9
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.5},0.76,0.7692307692307693,0.7628205128205129,0.5290432684448219,0.7142857142857143,0.8333333333333334,0,0.3076923076923077,0.7525607812100156,0.7595545253127499,0.6069109849750699,0.6752380952380952,9,4,2,10
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.3},0.6,0.6153846153846154,0.6025641025641025,0.20645590963700367,0.5714285714285714,0.6666666666666666,0,0.46153846153846156,0.5974277315869851,0.5991446895152781,0.4827701016847146,0.540952380952381,7,6,4,8
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__lr': 0.001; 'classification__max_epochs': 20; 'classification__module__dropout': 0.1},0.64,0.6896551724137931,0.6474358974358975,0.3158101459191266,0.5882352941176471,0.8333333333333334,0,0.5384615384615384,0.6014284216228254,0.6201736729460423,0.5335936864527374,0.5701960784313725,6,7,2,10
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.3},0.76,0.75,0.7596153846153846,0.5192307692307693,0.75,0.75,0,0.23076923076923078,0.7594231537846768,0.75955452531275,0.6041666666666665,0.6825,10,3,3,9
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_neuralnet_cross,ant,1.3,1.4,neuralnet,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,1,{'classification__lr': 0.01; 'classification__max_epochs': 30; 'classification__module__dropout': 0.5},0.5617977528089888,0.4,0.5931159420289854,0.15547515018386776,0.28888888888888886,0.65,0.5362318840579711,0.463768115942029,0.5891588717250795,0.5903818464669126,0.5733313818109257,0.2664294631710362,74,64,14,26
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.5_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,1.3,1.5,knn,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__n_neighbors': 1},0.7692307692307693,0.75,0.7692307692307693,0.5449492609130661,0.8181818181818182,0.6923076923076923,0.8461538461538461,0.15384615384615385,0.75674787229474,0.7653749516204769,0.6203028623387458,0.7202797202797203,11,2,4,9
